Number	Source	Context	Possessor_animacy	Possessor_length 	Possessum_length 	Final_sibilancy 	Prototypicality	Genitive_type 	Register 
13	NEWS	"in Haiti also struggles to rebuild. After years of steering away from the country 's unforgiving political limelight after one of its own, former priest Jean-Bertrand Aristide, twice"	N	2	3	N	N	s_gen 	LT
14	ACAD	"like and how it will be measured. Collaborate with others, including the student 's family, to collect comprehensive information about the student, including likes, dislikes,"	Y	2	1	N	Y	s_gen 	LT
15	ACAD	"in which Jeremiah can hear them having sex and Jackson calling his mother "" Daddy 's little girl "" and "" my baby "" (116). Early in the"	Y	1	5	N	Y	s_gen 	LT
16	NEWS	"nearly 100,000 people. Replacing her will be more difficult. Galambos led the community 's drive to incorporate, suffering defeat after defeat until a dramatic political realignment at the"	N	2	1	N	N	s_gen 	LT
17	ACAD	""" or other introductory activities can be incorporated to help students learn about each other 's interests, strengths, and communication approaches. The facilitator then covers any number of"	Y	2	4	N	N	s_gen 	LT
18	NEWS	"has also surged. Since President Felipe Calderon deployed Mexico's military against the country 's drug kingpins in December 2006, the number of armed private security firms in the"	N	2	1	N	N	s_gen 	LT
19	ACAD	"this example, would be standardized scores that would be used to determine a child 's severity classification. The derived cutoff points for each severity category would be test specific"	Y	2	2	N	N	s_gen 	LT
20	ACAD	"by virtually all subsequent chronicles of Johnny Appleseed.2 # Of more direct importance to M'Gaw 's novel is Henry Howe's 1847 Historical Collections of Ohio, which includes a two-page"	Y	1	1	N	Y	s_gen 	LT
21	ACAD	were between the ages of 9 and 11 years old (64.9%). Cochran 's Q test revealed no significant differences in the proportions of children identified as outliers in	Y	1	2	N	Y	s_gen 	LT
22	WEB	"as well. # tallbloke says: November 10, 2012 at 11:14 am Earth 's average surface temperature has only increased around 0.5% since the end of the little ice"	N	1	3	Y	Y	s_gen 	OT
23	WEB	308454 Miranda Lambert 's Dad Also' a Sucker' When It Comes to Stray Dogs # By now	Y	2	1	N	Y	s_gen 	OT
24	WEB	escape into the air. # Replacing a clogged air filter can improve your car 's gas mileage by as much as 10 percent. # Drive the speed limit;	N	2	2	N	Y	s_gen 	OT
25	WEB	"the point? # I don't know about you, but I miss Oprah 's regular talk show. I realize she has her own network, and I have"	Y	1	3	N	N	s_gen 	OT
26	WEB	"of it's natural resources and deny the workers safety, health and the country 's well being. They want tort reform -- so if you die on a Koch"	N	2	2	N	N	s_gen 	OT
27	WEB	tackle. He has decent feet but could have a tough time with Chandler Jones 's bullrush. The rest of the line has been patchwork with center Samson Satele and	Y	2	1	Y	Y	s_gen 	OT
28	WEB	"before me as the appearance of a man. 16 And I heard a man 's voice between the banks of Ulai, which called, and said, Gabriel,"	Y	1	1	N	Y	s_gen 	OT
29	WEB	". # A Cataclysmic FAILURE. # Well - in the end Masschusetts rejected Romney 's take-over. Instead of GAINING Republican seat, Romney's plan crashed and burned."	Y	1	1	N	N	s_gen 	OT
30	WEB	"devastating blow that the global economic crisis delivered in 2008 -- 2009, when Ukraine 's GDP fell by 15 percent. # Thus far the Yanukovych government has managed to"	N	1	1	N	Y	s_gen 	OT
31	WEB	"most normal person they meet (Wash) still has issues, what with Epsilon 's memories being beamed directly into his mind and all. # The heroes of The"	Y	1	1	N	Y	s_gen 	OT
32	WEB	read the New York Times story http: //tinyurl.com/d7lv4fb # A technician involved in BP 's efforts to plug the well said on Tuesday that there were various opinions on the	Y	1	1	N	Y	s_gen 	OT
33	WEB	since. # Dwight Eisenhower was obsessed with westerns. White House projectionist Paul Fischer 's handwritten log showed he watched more than 200 of them in the course of his	Y	2	2	N	N	s_gen 	OT
34	WEB	"still require that insurance companies cover those with pre-existing conditions, just as the president 's law has. # "" I'm not getting rid of all of health care"	Y	2	1	N	N	s_gen 	OT
35	WEB	". In the middle of fighting said Big Bad, this goes through the hero 's head: # It was a strange, chilling thought, dancing across his head"	Y	2	1	N	Y	s_gen 	OT
36	WEB	"addition, young women face more reproductive health vulnerabilities than men. Biologically, women 's risk of acquiring sexually transmitted infections during unprotected sexual relations is two to four times"	Y	2	1	N	N	s_gen 	OT
37	BLOG	"of the school's varsity football players at a party at one of the player 's homes Saturday night, police told the NY Daily News, adding the sex was"	Y	1	1	N	Y	s_gen 	OT
38	BLOG	"? Because... that wouldn't be as easy and/or self-gratifying as exploiting young women 's bodies and consumer addictions (booze, sex, and food) for profit margins"	Y	2	1	N	Y	s_gen 	OT
39	BLOG	"actually presented a semi-coherent foreign policy approach to correct some of the blunders of Bush 's first term, but the American people still favoured Bush when they went to the"	Y	1	2	Y	Y	s_gen 	OT
40	BLOG	"to think I was once a republican - voted for (gasp!) Reagan 's 1st term. Then I started paying attention, when he opened the door and"	Y	1	2	N	Y	s_gen 	OT
41	BLOG	not the first man in her life. # Strong social pressures reduce a woman 's willingness to use the powers of the state to her advantage in marital disputes:	Y	2	1	N	N	s_gen 	OT
42	BLOG	"as dramas Mistresses, Red Widow and Zero Hour. Already this fall, Lee 's team has granted full-season orders to Nashville, The Neighbors and second-year Shonda Rhimes drama"	Y	1	1	N	Y	s_gen 	OT
43	BLOG	". With each introduction of a new character the narrator lists all of the character 's fashion choices. From head to toe, not detail is spared regarding how each"	Y	2	2	N	N	s_gen 	OT
44	BLOG	"04, 2012 6:46 PM: # I am still seething with anger at Obama 's horrible performance. I put last night on par with his "" surge in Afghanistan"	Y	1	2	N	N	s_gen 	OT
45	BLOG	than life quality to the main subject. 4. the light bouncing off the model 's right cheek does look a little artificial. 5. wonder if it was deliberate but	Y	2	2	N	Y	s_gen 	OT
46	BLOG	which were deleted are those which have no apparent relevance to Cholmeley and his crew 's atheism. This would also provide one explanation for the Baines Note being sent to	Y	2	1	N	N	s_gen 	OT
47	BLOG	"they are more equipped to pass on information to their students. During the workshop 's closing ceremony, the Chief Executive of Seychelles Tourism Board, Elsia Grandcourt, presented"	N	2	2	N	N	s_gen 	OT
48	BLOG	"CULTURE, CIVILIZAION AND RELIGION. # This is the Obama DOJ and the administration 's PC attempt to downplay Muslim crime for their own agenda. It stinks for victims"	N	2	2	N	N	s_gen 	OT
49	NEWS	"the end, Huckaby said the system will need more state funding. The state 's per pupil funding is about the same as it was in 1994. # Davis said"	N	2	3	N	N	s_gen 	LT
50	ACAD	". "" One White House aide later wrote that this comment had "" rattled Clinton 's confidence in Yeltsin's emotional, physical, and political stability. "" Over the"	Y	1	1	N	N	s_gen 	LT
51	NEWS	""" But how good is good? "" The goal is to beat last year 's revenue figures, which he described were "" fair. "" # "" Hopefully,"	N	2	2	N	N	s_gen 	LT
52	ACAD	"the imposition and review of criminal punishments frequently entails consideration of issues within the judiciary 's expertise. (n98) Granted, Congress generally deserves deference in matters of federal policy"	N	2	1	N	N	s_gen 	LT
53	NEWS	"Both ideas were wrong. Real training meant watching, listening, diverting a dog 's exuberance, not suppressing it. You couldn't change a river into a sea"	Y	2	1	N	N	s_gen 	LT
54	ACAD	"say, "" What can I do? It's work. "" Around Haidir 's neck hangs a laminated identification card given him by the U.S. troops that designates him"	Y	2	1	N	Y	s_gen 	LT
55	ACAD	"present age. Parent's education level was computed by summing father's and mother 's education. # Psychosocial variables were self-esteem, enculturation (adherence to Korean culture)"	Y	1	1	N	N	s_gen 	LT
56	ACAD	"lasting refrain that lingers well beyond the visit. # A year after Carol Plum-Ucci 's visit, a student asked, "" Is her new book out yet? I"	Y	2	1	N	N	s_gen 	LT
57	NEWS	") - With close to 200 candidates already signed up to run in the state 's historic recall election of Gov. Gray Davis, the ballot itself could be a"	N	2	5	N	N	s_gen 	LT
58	NEWS	", began picking up the pieces. # At least 21 people died as Allison 's floodwaters surged over freeways and swamped 20,000 homes. Property damage from the storm,"	N	1	1	N	Y	s_gen 	LT
59	ACAD	financial ruin. Not that Fred is to blame -- the text merely records Carlyle 's rain and death. It was Carlyle alone who was responsible for his downfall.	N	1	3	N	N	s_gen 	LT
60	ACAD	"'ll get the sites set up,' "" recalls Tim Bollinger, Lehigh County 's composting operations manager. As part of the deal, the county provides the specialized"	N	2	3	Y	N	s_gen 	LT
61	NEWS	"agents Grant Hill and Tracy McGrady this summer. Many think Jordan will use Gabriel 's blueprint to rebuild the Wizards. # For now, the honeymoon continues between Jordan"	Y	1	1	N	Y	s_gen 	LT
62	ACAD	"of the last countries in Europe to do so. As a result of Turkey 's official recognition of israel, Turkish-Arab relations subsequently deteriorated. The Muslim Brotherhood newspaper Al-dawa"	N	1	4	N	Y	s_gen 	LT
63	ACAD	"schools are primarily aimed at developing human capital, workers who will do the nation 's chores without asking too many troublesome questions, serving as a giant sorting machine ("	N	2	1	N	N	s_gen 	LT
64	NEWS	"'s finished he meets up with a speedbag. Within a few seconds, Ali 's fists have the dangling air bladder rapping in a satisfying staccato. # Surprisingly rhythmic"	Y	1	1	N	Y	s_gen 	LT
65	NEWS	"'s chief of construction, had revealed that the Army wanted to build the world 's largest office building on the banks of the Potomac River in Arlington. # The"	N	2	2	N	N	s_gen 	LT
66	ACAD	"their children's lives. An array of research across many disciplines demonstrates that children 's interactions with their parents during the first few years, before they even enter school"	Y	1	1	N	N	s_gen 	LT
67	ACAD	"regarding the narrative enclitic, to the Coyote narrative told by Lisandro Mendez. Kenoi 's use of initial particles also differs from Mendez's. Kenoi used the initial particle"	Y	1	4	N	N	s_gen 	LT
68	NEWS	"his impending appointment have circulated since Friday, and an executive familiar with Mr. Armstrong 's plans said he understood that Mr. Armstrong had agreed to take the AT &T; job"	Y	2	1	N	Y	s_gen 	LT
69	NEWS	the state. # Ebon Academy was to be the premier prep school of America 's next generation of black politicians and entrepreneurs. # Alexander bought three air-conditioned buses with	N	1	7	N	N	s_gen 	LT
70	ACAD	"the attorney general's office launched a pilot project in which it assumed the agency 's legal responsibilities in some areas, with locally elected prosecutors taking over in some others"	N	2	2	N	Y	s_gen 	LT
71	ACAD	the line to be labeled as valid in the cache. The timing of LFARB 's validation pass guarantees that the pass is not made until the last possible storage UE	N	1	2	N	N	s_gen 	LT
72	NEWS	"June 1967, Rogers left the state in grief. But he still visits Monge 's grave site at Woodpecker Hill, the burial place for convicts abandoned by family and"	Y	1	2	N	Y	s_gen 	LT
73	NEWS	"do-it-yourself suburbanites, Home Depot is entering uncharted turf. On Thursday, Home Depot 's first effort to cater to rural communities will begin when the Quincy CrossRoads opens."	N	2	2	N	N	s_gen 	LT
74	NEWS	"and Super G last season. Still, few are ready to count out Italy 's fabulous Alberto Tomba -- double gold in slalom and giant slalom in 1988 and gold"	N	1	3	N	N	s_gen 	LT
75	ACAD	handling this human traffic. It was seen as a major factor in the port 's economy. Bitter price wars ensued. Liverpool lines ran ships from Mediterranean ports and	N	2	1	N	N	s_gen 	LT
76	ACAD	"mixed performance record of the ABEIP, not to mention the failure of Latin America 's previous attempts at integration. Optimism was tempered with skepticism. On the other hand"	N	2	4	N	N	s_gen 	LT
77	ACAD	"offshore fisheries has not occurred without biological, economic, and social impacts. Hawaii 's commercial and recreational fisheries are no longer what they were, and the relationship between"	N	1	4	N	N	s_gen 	LT
78	ACAD	"do this, Mary was consistently functioning at a below-average level 4 in the school 's spelling program. Since Mary has had an opportunity to work in her learning style"	N	2	2	N	N	s_gen 	LT
79	ACAD	"her husband shows for his sister (Moore 1988:263). # From the husband 's perspective, we see three families in which he is co-resident with a wife's"	Y	2	1	N	N	s_gen 	LT
80	ACAD	"appropriate in a research review. # Of particular interest to readers is the author 's description, presented in considerable depth, of the meta-analysis of research on giftedness conducted"	Y	2	1	N	N	s_gen 	LT
81	NEWS	"in your thoughts and prayers. "" Other local establishments are pasting posters with Jayme 's information in their shop windows. # More than 1,500 tips have poured in from"	Y	1	1	N	N	s_gen 	LT
82	NEWS	"writes letters to friends, family and the police. We never learn her assailant 's motive or identity.) # It is a messed-up book. I had not"	Y	2	3	N	N	s_gen 	LT
83	NEWS	"-- known as "" Salad Bowl of the World "" -- is one of America 's least affordable places to live, exemplifying a housing crisis that plagues California's rural"	N	1	5	N	N	s_gen 	LT
84	NEWS	University of Arizona vs BYU University of Arizona vs BYU # Kevin Sumlin 's debut as Arizona coach did not go as planned. # Kelly Presnell / Arizona	Y	2	4	N	N	s_gen 	LT
85	NEWS	"that this game destroys people's brains, "" Costas said. # "" Bob 's opinions are his own, and they do not represent those of the NBC Sports"	Y	1	1	N	N	s_gen 	LT
86	NEWS	"amazing how these relatively large creatures can maneuver between the branches and reach the tree 's highest point, seemingly without fear or trepidation. # Back at the campground,"	N	2	2	N	Y	s_gen 	LT
87	NEWS	""" Written and directed by Carol Morley, the movie retains several of the novel 's central characters, but it is so far from the source material otherwise that midway"	N	2	2	N	Y	s_gen 	LT
88	NEWS	"not on the police force. 70304706 Apple 's Game Trend of the Year is' Battle royale,' thanks to' Fortnite"	N	1	5	N	Y	s_gen 	LT
89	NEWS	"protest conservative causes, has played into conspiracy theories about wealthy Jews. # Trump 's supporters deny that he has stoked hate, saying that hate crimes were already rising"	Y	1	1	N	Y	s_gen 	LT
90	NEWS	"tree, most of the growing stops, and the sap waits in the tree 's roots until just the right time to recycle back into the branches and buds."	N	2	1	N	Y	s_gen 	LT
91	NEWS	"a microphone out of his hands, was changed to exaggerate the aggressiveness of Acosta 's actions. # "" Nobody manipulated it. Give me a break, "" Trump"	Y	1	1	N	N	s_gen 	LT
92	NEWS	GAMEDAY on NFL Sunday!!!!!!!?? # Cominsky 's story is one a lot of players can certainly relate to. After playing well	Y	1	1	N	N	s_gen 	LT
93	NEWS	champion will be a Tennessee Volunteer # Andrew Ference makes an attempt in the boy 's Division III Pole Vault on May 5. # Ralph Freso / for the Arizona	Y	2	4	N	N	s_gen 	LT
94	NEWS	"in at least five others. On Saturday, Jan. 27, 2018, Ryan 's family got the chance to meet two of Ryan's organ recipients, Archangel,"	Y	1	1	N	Y	s_gen 	LT
95	NEWS	"nothing for granted in November. # * Tammy Bruce, president of Independent Women 's Voice, author and Fox News contributor, is a radio talk show host."	Y	2	1	N	Y	s_gen 	LT
96	NEWS	"deal as it stands because it "" doesn't live up "" to the president 's promises to help workers and halt outsourcing. He called the president's threat """	Y	2	1	N	N	s_gen 	LT
97	NEWS	husband of a missing Connecticut woman tried to visit their five kids at his mother-in-law 's Upper East Side apartment Wednesday night -- but was turned away by security guards she	Y	2	4	N	Y	s_gen 	LT
98	NEWS	". When the court ordered that the father could not see the baby, Gavin 's mother disobeyed court orders and Gavin was taken away from her as well. Over"	Y	1	1	N	Y	s_gen 	LT
99	NEWS	"Mescal March 10, officials say. Read more here. # Cochise County Sheriff 's Department Mug shots 2019 # Jamie Jackson, 40, failed to show up"	Y	3	2	N	Y	s_gen 	LT
100	NEWS	"prosthetic designed by UNO researchers to assist with his cello playing. # Omaha Skutt 's Tyler Skradski (55), right, fights for a rebound with York's"	Y	2	2	N	Y	s_gen 	LT
101	NEWS	"Jimmy Carter and Sen. Bernie Sanders of Vermont, an independent. # The school 's president, Jerry Falwell Jr., said in an opinion piece for Fox News that"	N	2	1	N	N	s_gen 	LT
102	NEWS	"foe in the bitter 2016 presidential election, Clinton was an easy target for Trump 's attacks. "" Lock her up "" chants are still a fixture at Trump's"	Y	1	1	N	N	s_gen 	LT
103	NEWS	"Rochester # John Kanaras of Rochester Hills, a long time customer of Mr. B 's Food & Spirits in Rochester holds a photo of Ben Gell, the bartender who"	Y	2	3	N	N	s_gen 	LT
104	NEWS	is now accused of conspiring with his boyfriend to kill the boy and the child 's mother. # The St. Louis Post-Dispatch reports that 36-year-old Deonte Taylor was charged Wednesday	Y	2	1	N	Y	s_gen 	LT
105	NEWS	the federal ruling this week will matter to Kansas voters. # It was Kobach 's second major setback of the year. # The first involved the Presidential Advisory Commission	Y	1	3	N	N	s_gen 	LT
106	NEWS	"carnival outing when Wesley's mom saw a raised, dark mole on her daughter 's back. It had been there awhile. It started out flat, but over"	Y	2	1	N	Y	s_gen 	LT
107	NEWS	"release its financial results for the quarter ended June 30, 2018. The Company 's management team will host a conference call discussing the Company's financial results and recent"	N	2	2	N	Y	s_gen 	LT
108	NEWS	and its flight pens were still lively with market-ready roosters three weeks into this year 's season. # The tiptoe treatment has to do with South Dakota's reputation as	N	2	1	N	N	s_gen 	LT
109	NEWS	"Red Grange # New Hall of Famer Brian Urlacher poses with his bust after Saturday 's enshrinement ceremony. # A star at Wheaton and a phenomenon at Illinois, the"	N	1	2	N	N	s_gen 	LT
110	NEWS	Tbilisi. # The 2021 Super Cup -- played between the winners of that year 's Champions League and Europa League -- will be played at Northern Ireland's national stadium	N	2	5	N	N	s_gen 	LT
111	NEWS	"performance by an actor in a featured role in a musical for "" The Band 's Visit. "" Robert Deutsch, USA TODAY NETWORK"	Y	2	1	N	N	s_gen 	LT
112	NEWS	"Wonder wowed with his harmonica skills and then brought the remaining mourners at Aretha Franklin 's lengthy funeral to their feet with a moving version of "" As. "" #"	Y	2	2	N	N	s_gen 	LT
113	NEWS	of his yet-unannounced job change than how meticulous he was. Lillard tracked down Amick 's phone number and personally sent him a text in an attempt to verify the news	Y	1	2	N	Y	s_gen 	LT
114	NEWS	"it were booked. # Other students ended up booking a hotel almost an hour 's drive from downtown Minneapolis. # MSU student Ryan Schiffman, right, with his"	N	2	1	N	N	s_gen 	LT
115	NEWS	"beyond what limited general fund and other governmental revenues allow. # Mayor Catherine Pugh 's willingness to beg, plead and cajole businesses and individuals to support key city priorities"	Y	3	1	N	N	s_gen 	LT
116	NEWS	""" # LAFC has a league-leading 19 goals for the season, making Tyler Miller 's splendid play in goal almost unnoticed. His shutout Saturday was his second in as"	Y	2	2	N	N	s_gen 	LT
117	NEWS	indelible memories. Here are 53 of my favorites: # 1. Malcolm Butler 's INT: Pivotal. Shocking. Unforgettable. The New England Patriots' undrafted rookie	Y	2	1	N	Y	s_gen 	LT
118	NEWS	"$76,074, down 11.8 percent from the proposed $86,273 for these properties. Last year 's value was $62,558. # Cleveland Heights - The value of 1,596 appealed properties is"	N	2	1	N	N	s_gen 	LT
119	NEWS	"finds the picture that he will save forever, perhaps the last one of Fernandez 's life. There is Fernandez smiling, as usual, but his eyes are bloodshot"	Y	1	1	Y	N	s_gen 	LT
120	NEWS	of on-court coaching in tennis. # Former player Jiri Vanek was asked after Kvitova 's fourth-round win at the Australian Open for his thoughts regarding on-court coaching being broadened.	Y	1	1	N	N	s_gen 	LT
121	NEWS	"expensive hit if DACA is repealed, the Attorney General's Office said. Swanson 's news release noted many business leaders, including the Minnesota Chamber of Commerce, want"	Y	1	2	N	N	s_gen 	LT
122	NEWS	barrier to recovery. # Get Fast Forward in your inbox: # Forget yesterday 's news. Get what you need today in this early-morning email. # Andrew Dreyfus	N	1	1	N	N	s_gen 	LT
123	NEWS	"won the only Ivy League game so far (over Penn), but Yale 's overall metrics give it the nod for now.... # History lesson: Oklahoma"	N	1	2	N	N	s_gen 	LT
124	NEWS	"the following summer, in July 2016, when more news outlets started comparing Mylan 's egregious EpiPen price hikes to the actions of disgraced drug-industry exec Martin Shkreli. #"	N	1	3	N	N	s_gen 	LT
125	NEWS	"# DETROIT -- Over the past week, each text that pings into Jakobi Meyers 's phone has planted a little seed of dread. # "" Heard you're doing"	Y	2	1	N	Y	s_gen 	LT
126	NEWS	"serve a hungry-for-sports community, and on this night, Coca-Cola Park, the team 's $50 million stadium, is glistening. "" Bacon, USA, "" it brands"	Y	2	3	N	N	s_gen 	LT
127	NEWS	"an animal has a chip and reading details stored on it, like the owner 's name and address. # "" There's about four vans that go out per"	Y	2	3	N	Y	s_gen 	LT
128	NEWS	"two years before he was lured to Luminar by Russell. Evans had charmed Russell 's then-girlfriend on a flight, and she rallied for him to get hired. His"	Y	1	1	N	Y	s_gen 	LT
129	NEWS	"Italy's president, who is holding and playing a key card in the nation 's fast-evolving political crisis, was a timid law professor abruptly thrust into public life when"	N	2	3	N	N	s_gen 	LT
130	NEWS	efficiency and his ability as a runner have been complemented by running back Christian McCaffrey 's explosiveness all year. # Carolina Panthers running back Christian McCaffrey became the first player	Y	2	1	N	N	s_gen 	LT
131	NEWS	"out of the flooded blocks near 1st and M Streets after a visit to Melody 's house where they loaded up supplies in Fremont, Nebraska on Saturday, March 16"	Y	1	1	N	Y	s_gen 	LT
132	NEWS	"$7.25 per hour. "" # These figures give the lie to the Trump administration 's opposition to the minimum wage increase. As we reported in May, that opposition"	N	3	1	N	N	s_gen 	LT
133	NEWS	"argument for impeachment, and a source of anger for Republicans who said a prosecutor 's job is to bring charges or not, but not to hold the power of"	Y	2	1	N	Y	s_gen 	LT
134	NEWS	"Among the mourners were law enforcement officials from several jurisdictions. Early arrivals included Lambert 's colleagues from Illinois State Police, along with Cook County sheriff's deputies and officials"	Y	1	1	N	Y	s_gen 	LT
135	NEWS	"this nine-game homestand. # The Yankees need him to be one of the game 's best hitters, and they are confident he's approaching being healthy enough to prove"	N	2	2	N	N	s_gen 	LT
136	NEWS	Hill. # Charlotte-Mecklenburg Police # Police said Adams and Stevens were found driving Medina-Chevez 's SUV in Maryland days after he went missing. Medina-Chevez was later found dead in	Y	1	1	Y	Y	s_gen 	LT
137	NEWS	"lower cost component in roasted blends. Robusta makes up nearly 90 percent of Indonesia 's coffee harvest. # The arabica grown in Sumatra is unique, in part due"	N	1	2	N	N	s_gen 	LT
138	NEWS	"Democrats, of course. # Both women set out their long-standing positions on Chicago 's challenges with law enforcement and criminal justice. They discussed the leadership ranks of Chicago"	N	1	1	N	N	s_gen 	LT
139	NEWS	"2004, he was a third-third All-American, a first-team All-Big 12 performer and NU 's defensive MVP. He was selected in the second round of the NFL draft."	Y	1	2	N	N	s_gen 	LT
140	NEWS	"of similarly-named LLCs that serve as controlling companies for various real estate interests. Trump 's disclosure also doesn't name ICBC as indirectly paying him money, but Trump has"	Y	1	1	N	N	s_gen 	LT
141	NEWS	"in its second year of funding study-abroad trips to approximately 60 countries, like Allison 's 2004 trip to Alcal? de Henares, Spain. # It's taken a"	Y	1	2	N	N	s_gen 	LT
142	NEWS	"of "" responsible growth, "" a strategy he has said involves keeping the bank 's risks in check. # "" So many things are vastly improved at Bank of"	N	1	1	N	N	s_gen 	LT
143	NEWS	"General William Barr released last month. # "" I would defer to Bob Mueller 's judgment, and I do, "" Mr. Schiff said. "" But I think"	Y	2	1	N	N	s_gen 	LT
144	NEWS	"proud that the process of making "" The Lion King "" brought together both filmmaking 's past and its future. Call it the circle of life, Hollywood style."	N	1	1	N	N	s_gen 	LT
145	NEWS	# The Post learned that state prosecutors in Miami have an active investigation into Bannon 's assertions that he was a Florida resident and qualified to vote in the state from	Y	1	1	N	N	s_gen 	LT
146	NEWS	"sides on Woody Allen's movies, Kevin Spacey's TV shows and R. Kelly 's music. This came home to me a few years ago, at a showing"	Y	2	1	N	Y	s_gen 	LT
147	NEWS	"building as a "" 14-room townhouse that Bannon occupies. "" # "" Ordinarily Bannon 's townhouse is crypt-quiet and feels like a museum, as it's faithfully decorated down"	Y	2	1	N	Y	s_gen 	LT
148	NEWS	"businesses and even zoos will be closed across the region. # The Windy City 's "" high "" temperature on Wednesday should be around 10 below zero, while the"	N	3	2	N	N	s_gen 	LT
149	NEWS	"breast cancer patients since the early 2000s. The test examines genes from a patient 's breast cancer biopsy sample and allows doctors to assign a patient a "" recurrence score"	Y	2	4	N	Y	s_gen 	LT
150	NEWS	oil revenue. Iran retaliated with measures calibrated to be strong enough to get Washington 's attention but not so strong as to require a U.S. military response. # Like	N	1	1	N	N	s_gen 	LT
151	NEWS	"and struck out 17 in 18 innings - is strong. And that includes Friday 's game in New York, during which the team did him no favors. #"	N	1	1	N	N	s_gen 	LT
152	NEWS	"'s Longmead-Puritas neighborhood. # Cuyahoga County Medical Examiner Dr. Thomas Gilson called the boy 's death "" extremely suspicious "" and said he likely died sometime in late spring or"	Y	2	1	N	N	s_gen 	LT
153	NEWS	"as by personal campaigning, where he emphasizes his connections to most of the district 's eight counties. # Matthew Ridenhour, a former Mecklenburg County commissioner, said he"	N	2	2	N	Y	s_gen 	LT
154	NEWS	"see and spend time with day after day. "" # Baker repeatedly referenced King 's 51-year-old speech given to middle school students in Philadelphia six months before he was assassinated"	Y	1	2	N	N	s_gen 	LT
155	NEWS	"chances to chastise the crown prince -- chastisement which would have come months before Khashoggi 's death. Instead, the collective dismissal of the women's mistreatment signaled to Mohammed"	Y	1	1	N	N	s_gen 	LT
156	NEWS	"For one night, that would be enough. The returning rusher from last season 's 5-7 squad, Vavae Malepeai ran for 135 yards and a touchdown, while all-purpose"	N	2	2	N	N	s_gen 	LT
157	NEWS	Denver in the opener in the likely absence of K.J. Wright. Carroll said Griffin 's play early added to the team's confidence he can get the job done if	Y	1	1	N	Y	s_gen 	LT
158	NEWS	"Gardens.'' # Get The Weekender in your inbox: # The Globe 's top picks for what to see and do each weekend, in Boston and beyond"	N	2	2	N	N	s_gen 	LT
159	NEWS	"growth in Ohio was 2.13 percent between July 2017 and July 2018. The nation 's job growth for the same period was only 1.65 percent. # "" So far"	N	2	2	N	N	s_gen 	LT
160	NEWS	", rather than an annual appropriation dependent on Congress. Employees with the special counsel 's office are exempt from furlough. 70353381 Jefferson"	Y	2	1	N	N	s_gen 	LT
161	NEWS	"the percentage had increased more than tenfold, to 3.6 percent. # The government 's announcement in May that it was significantly increasing separations because of the zero-tolerance policy triggered"	N	2	1	N	N	s_gen 	LT
162	NEWS	"network. # The FTC's settlement, the largest privacy fine in the agency 's history, marks the most significant action yet against Facebook over a series of mishaps"	N	2	1	N	N	s_gen 	LT
163	NEWS	"the club's devotion. # On Tuesday night, Carrasco felt all of baseball 's love. # During the fifth inning of the All-Star Game, Carrasco walked on"	N	1	1	N	N	s_gen 	LT
